,UT,0,1,2
185,2-S2.0-85042557561,0.9764419149490379,0.012556496579742775,0.011001588471219285
186,2-S2.0-84855794788,1.0,2.8345498792983e-309,2.393969440052027e-309
187,2-S2.0-24144496041,0.12998013018031487,0.11475442479761787,0.33914682258422846
188,2-S2.0-0036464975,0.1290340631822077,0.11497856378823203,0.4162948121595342
189,2-S2.0-84886724502,1.0,2.501874945590884e-309,2.037604847765995e-309
190,2-S2.0-26444559516,0.13163978434043982,0.115407300462732,0.41594606863782135
191,2-S2.0-76249112329,0.13049669581065895,0.11870842311887712,0.36899011035603296
192,2-S2.0-3242884803,0.132720909253388,0.11572355060929185,0.3856190797444002
193,2-S2.0-85032725656,1.0,2.53738274787621e-309,2.205163913296344e-309
194,2-S2.0-33745877271,0.12728428070987008,0.11409108952450929,0.3009922182763491
195,2-S2.0-59749089094,1.0,2.539309830448123e-309,2.1285974197478e-309
196,2-S2.0-85075920454,1.0,2.560725148972013e-309,2.177526324973497e-309
197,2-S2.0-85044540145,1.0,2.5020726665927e-309,2.12949608636313e-309
198,2-S2.0-84903453393,0.6393144443299704,0.19223677896470936,0.15297702061611865
199,2-S2.0-85058805932,0.909916890420639,0.04993039615713105,0.04015271342223003
200,2-S2.0-84958824945,0.7540288391394786,0.13266882982599437,0.11330233103452696
201,2-S2.0-85015663643,0.8488325268647158,0.08444766563967401,0.06671980749561014
202,2-S2.0-85033238847,0.1229666711491248,0.11742000886351493,0.3381777266460865
203,2-S2.0-84891898395,0.7420667134099619,0.15597385624683,0.10195943034320801
204,2-S2.0-84994410893,0.9657744704472244,0.018839806067082004,0.015385723485693585
205,2-S2.0-33646138952,1.0,2.52880793616368e-309,2.24215753920638e-309
206,2-S2.0-84977510926,1.0,2.880764863967396e-309,2.33939475362205e-309
207,2-S2.0-84861139939,1.0,2.47825982392633e-309,2.06351175693941e-309
208,2-S2.0-84941190369,0.9200221066571644,0.04217046377450885,0.037807429568326716
209,2-S2.0-85006341770,0.08452054491555452,0.5614975431935962,0.07012774064383914
210,2-S2.0-84870665469,0.5929373822213913,0.11449033503899238,0.1150939157096941
211,2-S2.0-33847634311,0.8324351401045006,0.08484486096719869,0.08271999892830077
212,2-S2.0-84883055789,0.7949738840541235,0.12120417051598521,0.08382194542989124
213,2-S2.0-84977489306,0.9675888331136248,0.01782082375959533,0.014590343126779828
214,2-S2.0-85009507397,0.9379608376358783,0.0345546331847969,0.02748452917932477
215,2-S2.0-84992152233,0.11329492852680192,0.09690034645168163,0.6098213820511009
216,2-S2.0-85044540963,0.8628087990794054,0.07077517726118955,0.06641602365940502
217,2-S2.0-85058675342,0.827397930581768,0.0884577154690845,0.08414435394914743
218,2-S2.0-85060849107,0.9559792763695881,0.02422325036196078,0.019797473268451098
219,2-S2.0-84993946897,0.7754116910884926,0.1128991247991839,0.11168918411232344
220,2-S2.0-85063758598,0.07487073182237244,0.24698133610522838,0.06447071169721437
221,2-S2.0-84924025522,0.9884209192388519,0.006374213135401358,0.005204867625746786
222,2-S2.0-84958159457,0.8647388357744696,0.07548762351090246,0.05977354071462794
223,2-S2.0-84923072183,0.6979916027972808,0.11221997212030484,0.11077184268537403
224,2-S2.0-84983517639,0.13050519029227672,0.3712198598187218,0.0774624093988863
225,2-S2.0-85074507731,0.8627045452304374,0.07073179756353974,0.06656365720602285
226,2-S2.0-35348887744,0.8344566756454539,0.08406251893446137,0.08148080542008475
227,2-S2.0-84947704024,0.9488277109654469,0.02744780600348029,0.023724483031072746
228,2-S2.0-84856787906,0.7865841028571429,0.1173221929446946,0.09609370419816259
229,2-S2.0-85090050557,0.8949015505711965,0.05533761825686935,0.04976083117193416
230,2-S2.0-84923099946,0.661373967699681,0.11519847839580256,0.11321368652551503
